,lat,lon,satelite,data
0,9.6282,-63.5544,GOES-16,2024-12-06 00:20:00
1,-16.1006,-60.4523,GOES-16,2024-12-06 00:20:00
2,-19.6552,-59.6631,GOES-16,2024-12-06 00:20:00
3,-20.7924,-60.2463,GOES-16,2024-12-06 00:20:00
4,-20.8127,-60.2439,GOES-16,2024-12-06 00:20:00
5,-22.0384,-62.5641,GOES-16,2024-12-06 00:20:00
6,-22.0589,-62.5619,GOES-16,2024-12-06 00:20:00
7,-22.0592,-62.5415,GOES-16,2024-12-06 00:20:00
8,-23.3784,-57.9862,GOES-16,2024-12-06 00:20:00
9,-23.3993,-57.9829,GOES-16,2024-12-06 00:20:00
10,-23.3941,-60.3948,GOES-16,2024-12-06 00:20:00
11,-23.7913,-59.2425,GOES-16,2024-12-06 00:20:00
12,-25.6593,-61.0345,GOES-16,2024-12-06 00:20:00
13,-1.6811,-52.5558,GOES-16,2024-12-06 00:20:00
14,-19.578699,-40.413399,METOP-B,2024-12-05 23:32:00
15,-19.5816,-40.429401,METOP-B,2024-12-05 23:32:00
16,-9.3425,-35.8311,METOP-B,2024-12-05 23:32:00
17,-9.344,-35.8381,METOP-B,2024-12-05 23:32:00
18,-6.9882,-35.068901,METOP-B,2024-12-05 23:32:00
19,-6.9898,-35.075802,METOP-B,2024-12-05 23:32:00
20,-6.9913,-35.082699,METOP-B,2024-12-05 23:32:00
21,-6.9784,-35.071098,METOP-B,2024-12-05 23:32:00
22,-6.98,-35.077999,METOP-B,2024-12-05 23:32:00
23,-6.9815,-35.0849,METOP-B,2024-12-05 23:32:00
24,-9.0023,-35.921501,METOP-B,2024-12-05 23:32:00
25,-9.0038,-35.928501,METOP-B,2024-12-05 23:32:00
26,-6.7834,-40.202499,METOP-B,2024-12-05 23:32:00
27,-6.7855,-40.212399,METOP-B,2024-12-05 23:32:00
28,-6.7736,-40.204601,METOP-B,2024-12-05 23:32:00
29,-6.7757,-40.2145,METOP-B,2024-12-05 23:32:00
30,-6.7779,-40.2244,METOP-B,2024-12-05 23:32:00
31,-6.5639,-39.425098,METOP-B,2024-12-05 23:32:00
32,-20.24,-40.221199,METOP-B,2024-12-05 23:32:00
