Latitude,Longitude,Date,Temperature_2m,Relative_Humidity_2m,Apparent_Temperature,Is_Day,Precipitation,Rain,Surface_Pressure,Wind_Speed_10m,Wind_Direction_10m,Insertion_Date
-11.8769,-40.941101,2024-12-05 23:39:00,25.0,25.1,50,0,0.0,0.0,928.5,7.2,108,2024-12-06T18:21:43.009137-03:00
-10.4526,-37.192799,2024-12-05 23:39:00,25.0,27.3,77,0,0.0,0.0,988.7,13.1,127,2024-12-06T18:21:44.013150-03:00
-10.4542,-37.2005,2024-12-05 23:39:00,25.0,27.2,77,0,0.0,0.0,988.5,13.1,127,2024-12-06T18:21:45.037412-03:00
-9.8291,-37.064602,2024-12-05 23:39:00,27.5,27.6,57,0,0.0,0.0,988.1,19.7,118,2024-12-06T18:21:46.061553-03:00
-13.2229,-43.934101,2024-12-05 23:39:00,28.9,32.1,56,0,0.0,0.0,958.8,1.4,270,2024-12-06T18:21:47.085841-03:00
-13.2132,-43.935902,2024-12-05 23:39:00,28.7,31.9,56,0,0.0,0.0,956.7,1.4,270,2024-12-06T18:21:48.109851-03:00
-10.7469,-37.177299,2024-12-05 23:39:00,26.0,29.3,77,0,0.0,0.0,1009.7,10.6,125,2024-12-06T18:21:49.133724-03:00
-10.7486,-37.185101,2024-12-05 23:39:00,25.8,28.8,77,0,0.0,0.0,1004.7,10.6,125,2024-12-06T18:21:50.159753-03:00
-10.5842,-36.757099,2024-12-05 23:39:00,26.2,29.0,77,0,0.0,0.0,1011.4,13.7,113,2024-12-06T18:21:51.268737-03:00
-10.5859,-36.764599,2024-12-05 23:39:00,26.2,29.0,77,0,0.0,0.0,1011.2,13.7,113,2024-12-06T18:21:52.307903-03:00
-10.5875,-36.772099,2024-12-05 23:39:00,25.9,28.6,77,0,0.0,0.0,1006.3,13.7,113,2024-12-06T18:21:53.332076-03:00
-10.5517,-36.701599,2024-12-05 23:39:00,26.2,29.0,76,0,0.0,0.0,1009.8,13.2,116,2024-12-06T18:21:54.357321-03:00
-10.5763,-37.0527,2024-12-05 23:39:00,25.5,27.9,75,0,0.0,0.0,996.9,12.9,117,2024-12-06T18:21:55.379854-03:00
-10.5779,-37.060398,2024-12-05 23:39:00,25.9,28.5,75,0,0.0,0.0,1003.7,12.9,117,2024-12-06T18:21:56.405028-03:00
-10.2121,-36.651901,2024-12-05 23:39:00,26.5,29.0,72,0,0.0,0.0,1012.2,13.8,110,2024-12-06T18:21:57.430237-03:00
-10.2137,-36.659302,2024-12-05 23:39:00,26.5,28.9,72,0,0.0,0.0,1011.9,13.8,110,2024-12-06T18:21:58.451789-03:00
-10.0393,-36.5667,2024-12-05 23:39:00,26.0,28.0,72,0,0.0,0.0,998.6,14.5,109,2024-12-06T18:21:59.475899-03:00
-9.6962,-35.847698,2024-12-05 23:39:00,25.4,28.1,78,0,0.0,0.0,1002.9,11.8,110,2024-12-06T18:22:00.605314-03:00
-9.6978,-35.854698,2024-12-05 23:39:00,25.4,28.1,78,0,0.0,0.0,1003.0,11.8,110,2024-12-06T18:22:01.627888-03:00
-9.6993,-35.861698,2024-12-05 23:39:00,25.3,28.1,78,0,0.0,0.0,1002.6,11.8,110,2024-12-06T18:22:02.650545-03:00
-9.8308,-37.072201,2024-12-05 23:39:00,27.5,27.6,57,0,0.0,0.0,988.6,19.7,118,2024-12-06T18:22:03.674423-03:00
-9.3282,-35.951801,2024-12-05 23:39:00,25.5,27.9,75,0,0.0,0.0,995.3,12.4,116,2024-12-06T18:22:04.700573-03:00
-9.3297,-35.958801,2024-12-05 23:39:00,25.3,27.6,75,0,0.0,0.0,992.0,12.4,116,2024-12-06T18:22:05.670384-03:00
-8.9859,-36.079498,2024-12-05 23:39:00,25.0,26.6,71,0,0.0,0.0,972.1,12.7,119,2024-12-06T18:22:06.746753-03:00
-8.9875,-36.086498,2024-12-05 23:39:00,25.0,26.7,71,0,0.0,0.0,973.1,12.7,119,2024-12-06T18:22:07.772486-03:00
9.6282,-63.5544,2024-12-06 00:30:00,28.0,30.6,68,1,0.0,0.0,994.8,14.0,72,2024-12-06T18:22:08.794692-03:00
-16.1006,-60.4523,2024-12-06 00:30:00,29.7,34.6,70,1,0.0,0.0,976.9,6.5,354,2024-12-06T18:22:09.818180-03:00
-20.7924,-60.2463,2024-12-06 00:30:00,34.2,36.1,45,1,0.0,0.0,985.1,15.9,5,2024-12-06T18:22:10.844996-03:00
-20.8127,-60.2439,2024-12-06 00:30:00,34.7,36.4,44,1,0.0,0.0,984.8,16.7,6,2024-12-06T18:22:11.866597-03:00
-22.0384,-62.5641,2024-12-06 00:30:00,35.7,37.2,38,1,0.0,0.0,968.5,12.7,15,2024-12-06T18:22:12.890499-03:00
-22.0589,-62.5619,2024-12-06 00:30:00,35.7,37.1,38,1,0.0,0.0,968.7,13.6,12,2024-12-06T18:22:13.914405-03:00
-22.0592,-62.5415,2024-12-06 00:30:00,35.7,37.1,38,1,0.0,0.0,968.8,13.6,12,2024-12-06T18:22:15.042334-03:00
-23.3784,-57.9862,2024-12-06 00:30:00,31.8,36.0,62,1,0.0,0.0,992.9,10.5,8,2024-12-06T18:22:16.065317-03:00
